2019/08/22 10:59:14.181 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/layui/lay/modules/form.js HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:14.185 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:14] "GET /static/layui/lay/modules/upload.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.375 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /as/votedetail HTTP/1.1 200 0" 0.011000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.447 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /static/layui/lay/modules/layer.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.472 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /static/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.474 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /static/layui/lay/modules/jquery.js HTTP/1.1 200 0" 0.002000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.505 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /static/layui/lay/modules/element.js HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.517 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /static/layui/lay/modules/form.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 10:59:16.521 [D] [server.go:2694] ::1 - - [22/Aug/2019 10:59:16] "GET /static/layui/lay/modules/upload.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 11:02:03.734 [D] [server.go:2694] ::1 - - [22/Aug/2019 11:02:03] "GET /as/votedetail HTTP/1.1 200 0" 0.014000 http://localhost:8111/as/sys/base Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 11:02:03.773 [D] [server.go:2694] ::1 - - [22/Aug/2019 11:02:03] "GET /static/layui/lay/modules/layer.js HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 11:02:03.802 [D] [server.go:2694] ::1 - - [22/Aug/2019 11:02:03] "GET /static/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1 200 0" 0.000000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 11:02:03.806 [D] [server.go:2694] ::1 - - [22/Aug/2019 11:02:03] "GET /static/layui/lay/modules/jquery.js HTTP/1.1 200 0" 0.002000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

2019/08/22 11:02:03.839 [D] [server.go:2694] ::1 - - [22/Aug/2019 11:02:03] "GET /static/layui/lay/modules/element.js HTTP/1.1 200 0" 0.001000 http://localhost:8111/as/votedetail Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36

